Date : 2021-03-22 19:28:08
Directory : e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering
Total : 100 files,  18913 codes, 433 comments, 871 blanks, all 20217 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\templates\statistics.html                       | Django HTML |         17 |          0 |          6 |         23 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\templates\studentweb\attendtime.html            | Django HTML |         47 |          0 |         14 |         61 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\templates\studentweb\cap.html                   | Django HTML |         30 |          0 |          0 |         30 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\templates\studentweb\changepsw.html             | Django HTML |         59 |          0 |          9 |         68 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\templates\studentweb\changepswsuccess.html      | Django HTML |         18 |          0 |          0 |         18 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\templates\studentweb\chart.html                 | Django HTML |         56 |          0 |          6 |         62 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\templates\studentweb\index.html                 | Django HTML |         16 |          0 |          8 |         24 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\templates\studentweb\lessoninfo.html            | Django HTML |         27 |          0 |         10 |         37 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\templates\studentweb\login.html                 | Django HTML |         50 |          0 |          8 |         58 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\templates\studentweb\register.html              | Django HTML |         47 |          0 |          6 |         53 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\templates\studentweb\show.html                  | Django HTML |         45 |          0 |          5 |         50 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\templates\studentweb\statistics.html            | Django HTML |         17 |          0 |          6 |         23 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\templates\usernotexist.html                     | Django HTML |          4 |          0 |          1 |          5 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\templates\wrongcaptcha.html                     | Django HTML |          4 |          0 |          1 |          5 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\templates\wrongpassword.html                    | Django HTML |          4 |          0 |          1 |          5 |
| e:\Programming\Engineering\Python\Django\WebInSQLServer\WebEngineering\test.py                                         | Python      |         15 |          3 |          3 |         21 |
| Total                                                                                                                  |             |     18,913 |        433 |        871 |     20,217 |
+------------------------------------------------------------------------------------------------------------------------+-------------+------------+------------+------------+------------+
