"filename", "language", "Python", "JSON with Comments", "Markdown", "Properties", "Django HTML", "Django txt", "CSS", "compressionTargetFile", "JavaScript", "CSV", "comment", "blank", "total"
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\RunningAccountModel\Database_20210810134139.py", "Python", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 4, 65
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\RunningAccountModel\Database_20210810134813.py", "Python", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 4, 75
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\RunningAccountModel\Database_20210810135319.py", "Python", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 4, 90
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\RunningAccountModel\Database_20210810135827.py", "Python", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 4, 94
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\RunningAccountModel\Database_20210810141548.py", "Python", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 4, 94
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\TcyTableInfo\Database_20210806152915.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\TcyTableInfo\Database_20210806155601.py", "Python", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\TcyTableInfo\Database_20210806160503.py", "Python", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\TcyTableInfo\Database_20210807154117.py", "Python", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\TableInformationModel\Database_20210807153757.py", "Python", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\TableInformationModel\Database_20210810140039.py", "Python", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 42
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\TyperaModel\Database_20210806152915.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\TyperaModel\Database_20210806155937.py", "Python", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\TyperaModel\Database_20210806160557.py", "Python", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\TyperaModel\Database_20210807154117.py", "Python", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\TyperaModel\Database_20210810103206.py", "Python", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\TyperaModel\Database_20210810140355.py", "Python", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 43
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\UserModel\Database_20210806152915.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\UserModel\Database_20210806154258.py", "Python", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 44
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\UserModel\Database_20210806160005.py", "Python", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 64
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\UserModel\Database_20210806160612.py", "Python", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 64
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\UserModel\Database_20210807154117.py", "Python", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 64
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\UserModel\Database_20210810140635.py", "Python", 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 90
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\UserModel\Database_20210810141216.py", "Python", 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 7, 99
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\UserModel\Database_20210810141716.py", "Python", 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 7, 106
"c:\Users\shado\Desktop\Documents\ComputerProgramme\Code\Development\WebEngineering\.history\Apps\polls\Models\UserModel\Database_20210810142322.py", "Python", 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 7, 119
